serious_assault_result_injury, dang_negli_acts, assault_police, prop_dam_by_fire_expl, POSTCODE, theft_from_motor_veh, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, murder, other_acts_intend_cause_injury, serious_assault_not_result_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_hom_rel_offences, other_fraud_decep_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
0,0,0,0,"5373",2,0,0,0,2329,0,1,0,1,0,0,0,0,0,1,0,0,0,0,"Apr 2019",11,0,4,0,2
0,0,0,0,"5374",0,0,0,0,2341,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Apr 2019",2,0,1,0,0
0,0,0,0,"5381",0,0,0,0,2352,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Apr 2019",1,0,0,0,0
6,0,0,1,"5023",8,0,0,0,237,0,12,6,15,0,0,0,9,3,1,3,0,0,0,"Apr 2019",96,1,14,0,17
0,0,0,0,"5410",0,0,0,0,2378,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Apr 2019",1,0,0,0,0
0,0,0,0,"5412",0,0,0,0,2394,0,1,2,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",7,1,1,0,2
0,0,0,0,"5413",0,0,0,0,2402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,0,0,1
0,0,0,0,"5417",1,0,0,0,2420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",3,2,0,0,0
0,0,0,0,"5420",1,0,0,0,2435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,0,0,0
1,0,1,0,"5422",0,0,0,0,2451,0,0,1,0,0,0,0,0,0,2,0,0,0,0,"Apr 2019",6,0,0,0,1
0,0,0,0,"5431",0,0,0,0,2461,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"Apr 2019",2,0,0,0,0
0,0,0,0,"5433",0,0,1,0,2471,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",4,0,0,0,1
0,0,0,0,"5434",0,0,0,0,2479,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,0,0,0
0,1,0,0,"5024",9,0,0,1,249,0,3,1,4,0,0,0,1,0,0,1,0,0,3,"Apr 2019",48,4,11,0,9
0,0,0,0,"5453",0,0,0,0,2507,0,1,0,1,0,0,0,0,0,0,1,0,0,0,"Apr 2019",7,0,1,0,3
0,0,0,0,"5460",0,0,0,0,2523,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Apr 2019",1,0,0,0,0
0,0,0,0,"5461",0,0,0,0,2535,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"Apr 2019",3,0,1,0,0
0,0,0,0,"5464",0,0,0,0,2550,0,0,0,0,0,0,1,0,0,1,0,1,0,0,"Apr 2019",3,0,0,0,0
0,0,0,0,"5470",0,0,0,0,2554,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Apr 2019",1,0,0,0,0
0,0,0,0,"5473",0,0,0,0,2562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,0,0,1
0,0,0,0,"5480",1,0,0,0,2569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,0,0,0
0,0,0,0,"5485",0,0,0,0,2586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,1,0,0
0,0,0,0,"5491",0,0,0,0,2599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,1,0,0
2,0,0,2,"5025",3,0,0,0,261,0,2,1,2,0,0,0,1,1,2,0,0,0,1,"Apr 2019",35,2,11,0,5
0,0,0,0,"5495",0,1,0,0,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",2,0,0,0,1
1,0,0,0,"5501",0,0,2,0,2621,0,2,0,1,0,0,0,1,0,1,1,0,0,0,"Apr 2019",18,1,6,0,2
0,0,0,0,"5502",1,0,0,0,2633,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Apr 2019",3,0,1,0,0
0,0,0,0,"5510",0,0,0,0,2640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",2,0,1,0,1
0,0,0,0,"5520",0,0,0,0,2646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,1,0,0
0,0,0,0,"5521",0,0,0,0,2654,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Apr 2019",1,0,0,0,0
0,0,0,0,"5522",0,0,0,0,2664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",3,1,1,0,1
0,0,0,0,"5523",0,0,1,0,2676,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"Apr 2019",6,1,0,0,2
3,2,3,0,"5540",1,0,1,1,2688,3,5,3,7,0,0,0,14,1,4,0,0,0,0,"Apr 2019",85,3,18,0,16
0,0,0,0,"5550",0,0,0,0,2700,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Apr 2019",6,0,4,0,1
0,0,0,1,"5554",1,0,1,0,2721,3,2,2,3,0,0,0,0,0,3,0,0,0,1,"Apr 2019",32,3,2,0,10
